scenario_index,scenario_id,family,switch_day,method_c_objective,two_stage_gurobi_objective,method_c_prefix_oracle_objective,clairvoyant_gurobi_objective,static_no_replan_objective,prefix_advantage_absolute,prefix_advantage_percent,adaptation_gap_absolute,adaptation_gap_percent,final_advantage_absolute,final_advantage_percent,clairvoyant_gap_percent,two_stage_replanning_gain_percent,method_c_beats_two_stage,method_c_prefix_beats_static_gurobi_prefix,two_stage_proven_optimal,method_c_prefix_oracle_proven_optimal,clairvoyant_proven_optimal,two_stage_runtime_seconds,method_c_prefix_oracle_runtime_seconds,clairvoyant_runtime_seconds,R_retrain_objective,R_retrain_final_advantage_absolute,R_retrain_final_advantage_percent,R_retrain_beats_two_stage,R_retrain_online_training_seconds,R_retrain_inference_runtime_seconds
18,test_018_id_distributed,distributed,16,15713.043280205515,16023.88405466397,16084.385704878343,16443.90031764903,15297.04298256803,60.50165021437351,0.3775716924060224,371.3424246728282,2.308713751873043,-310.8407744584547,-1.9398591090527784,4.444547968094256,4.751513563269858,False,True,True,True,True,2.7855997000006028,2.58461860002717,11.35078199999407,16047.385708480317,23.501653816347243,0.14666639958310712,True,30.071692693000386,0.9225857070000529
19,test_019_id_no_shock,no_shock,9,15483.1185,15555.198750000001,15514.542750000004,15555.198750000001,15555.198750000001,-40.65599999999722,-0.2613659950824943,31.424250000003667,0.20254705862990166,-72.08025000000089,-0.4633836645770976,0.4633836645770976,0.0,False,False,True,True,True,4.9959360000211746,4.677793999959249,11.521613299963064,,,,,,
20,test_020_id_mixed,mixed,11,19913.230854717513,20736.731554159633,20640.251263238297,21306.80322124359,19016.67248499438,-96.48029092133584,-0.4652627665519575,727.0204085207843,3.522342820582119,-823.5006994421201,-3.971217437479592,6.540504232641711,9.045005484121964,False,False,True,True,True,4.66021219996037,5.194496100011747,10.244155700027477,,,,,,
21,test_021_id_boost_only,boost_only,21,18567.886000208346,19739.05910465015,19827.01202005391,20994.67163792375,17865.565650804594,87.9529154037591,0.4455780538345876,1259.1260198455639,6.350558614540752,-1171.1731044418048,-5.933277256188459,11.559054981035182,10.48661705128369,False,True,True,True,True,0.43321290001040325,0.46349180000834167,9.900509099999908,,,,,,
22,test_022_id_suppress_only,suppress_only,4,13763.270721420677,13821.012908963454,14251.192133129785,14261.384133129786,12933.227435207813,430.17922416633155,3.1125014280779952,487.9214117091087,3.423723483278543,-57.742187542777174,-0.41778549751103383,3.492742408865992,6.864376878882094,False,True,True,True,True,9.061342099972535,11.576160900003742,10.57412760000443,,,,,,
23,test_023_id_concentrated,concentrated,19,14281.076500000005,14799.781500000006,14833.161,15188.126750000001,13628.324680433847,33.37949999999364,0.2255404919322196,552.0844999999954,3.721961219189864,-518.7050000000017,-3.5048152569009314,5.972100871491585,8.595750739986531,False,True,True,True,True,2.287918299960438,2.119161999959033,15.438338999985717,,,,,,
24,test_024_id_distributed,distributed,14,19676.837781290975,19967.6877100438,20054.106464041117,20247.98872556858,19693.2328234167,86.41875399731725,0.4327929966264867,377.26868275014203,1.8812540136187068,-290.8499287528248,-1.4566029526119166,2.820778656185101,1.3936507483969456,False,True,True,True,True,3.3478714000084437,3.729838000028394,12.634709800011478,,,,,,
25,test_025_id_no_shock,no_shock,24,15472.606500000002,15555.198750000001,15472.606500000002,15555.198750000001,15555.198750000001,-82.5922499999997,-0.5309623575205021,0.0,0.0,-82.5922499999997,-0.5309623575205021,0.5309623575205021,0.0,False,False,True,True,True,0.45403699995949864,0.4515716000460088,11.27638689999003,,,,,,
26,test_026_id_mixed,mixed,7,22031.67826115201,23738.916382133822,23697.611448849006,24625.833508381977,22436.229959349377,-41.3049332848168,-0.17399670911644205,1665.9331876969954,7.0299624554689455,-1707.2381209818122,-7.19172726126075,10.534284032851051,5.80617343085131,False,False,True,True,True,6.040734000038356,5.970898800005671,11.290072300005704,,,,,,
27,test_027_id_boost_only,boost_only,25,15472.606500000002,15555.198750000001,15472.606500000002,15555.198750000001,15555.198750000001,-82.5922499999997,-0.5309623575205021,0.0,0.0,-82.5922499999997,-0.5309623575205021,0.5309623575205021,0.0,False,False,True,True,True,0.4386574999662116,0.4444423000095412,11.501877099974081,15476.166500000003,-79.03224999999838,-0.508076118281667,False,21.67880206200016,0.7220294489998196
28,test_028_id_suppress_only,suppress_only,22,14870.52475,15093.148500000001,14883.219000000001,15307.18275,14647.97160227964,-209.9295000000002,-1.390892695450523,12.694250000000466,0.08529236853936278,-222.62375000000065,-1.474998738666095,2.8526346561061304,3.0391709501340025,False,False,True,True,True,0.47001029999228194,0.43040020001353696,10.396832500002347,,,,,,
29,test_029_id_concentrated,concentrated,18,16221.947037345952,16501.57492300312,16467.990923003123,16532.834173003124,15555.198750000001,-33.58399999999892,-0.203519967983074,246.0438856571709,1.494073483569191,-279.6278856571698,-1.6945527136768612,1.8804225119781819,6.083986377886172,False,False,True,True,True,1.8043662999989465,1.918825000000652,14.343433499976527,,,,,,
30,test_030_id_distributed,distributed,10,15864.908618282017,16116.270707475216,16102.209305662442,16387.184996042597,15966.484820527334,-14.06140181277442,-0.08724972462923643,237.30068738042428,1.4737150839107278,-251.3620891931987,-1.5596789961874327,3.1871024699282158,0.9381268866100688,False,False,True,True,True,5.849329000047874,5.462550199998077,13.434785199991893,,,,,,
31,test_031_id_no_shock,no_shock,22,15472.606500000002,15555.198750000001,15472.606500000002,15555.198750000001,15555.198750000001,-82.5922499999997,-0.5309623575205021,0.0,0.0,-82.5922499999997,-0.5309623575205021,0.5309623575205021,0.0,False,False,True,True,True,0.44221499998820946,0.41388629999710247,11.257149800017942,,,,,,
