scenario_index,scenario_id,family,switch_day,method,objective,runtime_seconds
24,test_024_id_distributed,distributed,14,D_frozen_static_best_of_64,19586.1245912918,1.5646910649998063
24,test_024_id_distributed,distributed,14,C_rich_generalist_e2e_best_of_64,19676.837781290975,1.0373245330001737
25,test_025_id_no_shock,no_shock,24,B_frozen_static_greedy,15476.166500000003,0.04724267300025531
25,test_025_id_no_shock,no_shock,24,D_frozen_static_best_of_64,15476.166500000003,1.3830479049997848
25,test_025_id_no_shock,no_shock,24,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.782128787000147
26,test_026_id_mixed,mixed,7,B_frozen_static_greedy,22001.66524457107,0.11323855099999491
26,test_026_id_mixed,mixed,7,D_frozen_static_best_of_64,22027.702440640598,1.7257185800003754
26,test_026_id_mixed,mixed,7,C_rich_generalist_e2e_best_of_64,22031.67826115201,1.1821017520001078
27,test_027_id_boost_only,boost_only,25,B_frozen_static_greedy,15476.166500000003,0.04100884799981941
27,test_027_id_boost_only,boost_only,25,D_frozen_static_best_of_64,15476.166500000003,1.421139605999997
27,test_027_id_boost_only,boost_only,25,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.7370926980001968
28,test_028_id_suppress_only,suppress_only,22,B_frozen_static_greedy,14525.73805953105,0.05412502199988012
28,test_028_id_suppress_only,suppress_only,22,D_frozen_static_best_of_64,14525.73805953105,1.383412949999638
28,test_028_id_suppress_only,suppress_only,22,C_rich_generalist_e2e_best_of_64,14870.52475,0.8018874929998674
29,test_029_id_concentrated,concentrated,18,B_frozen_static_greedy,15476.166500000003,0.07344559600005596
29,test_029_id_concentrated,concentrated,18,D_frozen_static_best_of_64,15483.1185,1.454721294999672
29,test_029_id_concentrated,concentrated,18,C_rich_generalist_e2e_best_of_64,16221.947037345952,0.9214871689996471
30,test_030_id_distributed,distributed,10,B_frozen_static_greedy,15982.027244943722,0.10232397599975229
30,test_030_id_distributed,distributed,10,D_frozen_static_best_of_64,15997.340173180393,1.6586154670003452
30,test_030_id_distributed,distributed,10,C_rich_generalist_e2e_best_of_64,15864.908618282017,1.0778361610000502
31,test_031_id_no_shock,no_shock,22,B_frozen_static_greedy,15476.166500000003,0.05786046200000783
31,test_031_id_no_shock,no_shock,22,D_frozen_static_best_of_64,15476.166500000003,1.4124353030001657
31,test_031_id_no_shock,no_shock,22,C_rich_generalist_e2e_best_of_64,15472.606500000002,0.7932973519996267
32,test_032_id_mixed,mixed,16,B_frozen_static_greedy,20845.71400169029,0.0781146809999882
32,test_032_id_mixed,mixed,16,D_frozen_static_best_of_64,20859.176685269296,1.5261518909996994
32,test_032_id_mixed,mixed,16,C_rich_generalist_e2e_best_of_64,19724.981693249378,0.9419135610000922
33,test_033_id_boost_only,boost_only,9,B_frozen_static_greedy,21360.530888603527,0.10422659699997894
